北京市,农、林、牧、渔业-农业,175
北京市,农、林、牧、渔业-林业,15
北京市,农、林、牧、渔业-畜牧业,45
北京市,农、林、牧、渔业-渔业,10
北京市,农、林、牧、渔业-农、林、牧、渔专业及辅助性活动,27
北京市,采矿业-煤炭开采和洗选业,7
北京市,采矿业-石油和天然气开采业,10
北京市,采矿业-黑色金属矿采选业,0
北京市,采矿业-有色金属矿采选业,9
北京市,采矿业-非金属矿采选业,0
北京市,采矿业-开采专业及辅助性活动,2
北京市,采矿业-其他采矿业,1
北京市,制造业-农副食品加工业,3
北京市,制造业-食品制造业,12
北京市,制造业-酒、饮料和精制茶制造业,11
北京市,制造业-烟草制品业,0
北京市,制造业-纺织业,1
北京市,制造业-纺织服装、服饰业,20
北京市,制造业-皮革、毛皮、羽毛及其制品和制鞋业,4
北京市,制造业-木材加工和木、竹、藤、棕、草制品业,7
北京市,制造业-家具制造业,6
北京市,制造业-造纸和纸制品业,3
北京市,制造业-印刷和记录媒介复制业,6
北京市,制造业-文教、工美、体育和娱乐用品制造业,6
北京市,制造业-石油、煤炭及其他燃料加工业,9
北京市,制造业-化学原料和化学制品制造业,16
北京市,制造业-医药制造业,29
北京市,制造业-化学纤维制造业,0
北京市,制造业-橡胶和塑料制品业,4
北京市,制造业-非金属矿物制品业,18
北京市,制造业-黑色金属冶炼和压延加工业,3
北京市,制造业-有色金属冶炼和压延加工业,4
北京市,制造业-金属制品业,9
北京市,制造业-通用设备制造业,12
北京市,制造业-专用设备制造业,16
北京市,制造业-汽车制造业,12
北京市,制造业-铁路、船舶、航空航天和其他运输设备制造业,21
北京市,制造业-电气机械和器材制造业,14
北京市,制造业-计算机、通信和其他电子设备制造业,33
北京市,制造业-仪器仪表制造业,12
北京市,制造业-其他制造业,5
北京市,制造业-废弃资源综合利用业,0
北京市,制造业-金属制品、机械和设备修理业,1
北京市,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,47
北京市,电力、热力、燃气及水生产和供应业-燃气生产和供应业,7
北京市,电力、热力、燃气及水生产和供应业-水的生产和供应业,8
北京市,建筑业-房屋建筑业,1043
北京市,建筑业-土木工程建筑业,732
北京市,建筑业-建筑安装业,338
北京市,建筑业-建筑装饰、装修和其他建筑业,698
北京市,批发和零售业-批发业,661
北京市,批发和零售业-零售业,294
北京市,交通运输、仓储和邮政业-铁路运输业,8
北京市,交通运输、仓储和邮政业-道路运输业,22
北京市,交通运输、仓储和邮政业-水上运输业,8
北京市,交通运输、仓储和邮政业-航空运输业,14
北京市,交通运输、仓储和邮政业-管道运输业,8
北京市,交通运输、仓储和邮政业-多式联运和运输代理业,8
北京市,交通运输、仓储和邮政业-装卸搬运和仓储业,34
北京市,交通运输、仓储和邮政业-邮政业,10
北京市,住宿和餐饮业-住宿业,65
北京市,住宿和餐饮业-餐饮业,23
北京市,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务,26
北京市,信息传输、软件和信息技术服务业-互联网和相关服务,21
北京市,信息传输、软件和信息技术服务业-软件和信息技术服务业,321
北京市,金融业-货币金融服务,227
北京市,金融业-资本市场服务,134
北京市,金融业-保险业,167
北京市,金融业-其他金融业,143
北京市,房地产业-房地产业,2125
北京市,租赁和商务服务业-租赁业,28
北京市,租赁和商务服务业-商务服务业,2875
北京市,科学研究和技术服务业-研究和试验发展,90
北京市,科学研究和技术服务业-专业技术服务业,181
北京市,科学研究和技术服务业-科技推广和应用服务业,1448
北京市,水利、环境和公共设施管理业-水利管理业,18
北京市,水利、环境和公共设施管理业-生态保护和环境治理业,23
北京市,水利、环境和公共设施管理业-公共设施管理业,50
北京市,水利、环境和公共设施管理业-土地管理业,0
北京市,居民服务、修理和其他服务业-居民服务业,14
北京市,居民服务、修理和其他服务业-机动车、电子产品和日用产品修理业,5
北京市,居民服务、修理和其他服务业-其他服务业,18
北京市,教育-教育,10
北京市,卫生和社会工作-卫生,26
北京市,卫生和社会工作-社会工作,13
北京市,文化、体育和娱乐业-新闻和出版业,35
北京市,文化、体育和娱乐业-广播、电视、电影和录音制作业,51
北京市,文化、体育和娱乐业-文化艺术业,234
北京市,文化、体育和娱乐业-体育,25
北京市,文化、体育和娱乐业-娱乐业,10
北京市,公共管理、社会保障和社会组织-中国共产党机关,0
北京市,公共管理、社会保障和社会组织-国家机构,0
北京市,公共管理、社会保障和社会组织-人民政协、民主党派,0
北京市,公共管理、社会保障和社会组织-社会保障,0
北京市,公共管理、社会保障和社会组织-群众团体、社会团体和其他成员组织,0
北京市,公共管理、社会保障和社会组织-基层群众自治组织,0
北京市,国际组织-国际组织,0
